Tipo de Relatório: Medidas Consolidadas;;;;;;;;;;
Tipo de Agente: Conectante | Nome: RIOGALEAO;;;;;;;;;;
Periodo Solicitado de 01/09/2019 até 30/09/2019;;;;;;;;;;
Ponto de Medição;Data de Consolidação;Hora de Consolidação;Tipo de Energia;Ativa Geração (kWh);Ativa Consumo (kWh);Reativa Geração (kVArh);Reativa Consumo (kVArh);Qt Intervalos Faltantes;Situação da Medida;Motivo da Situação
RJAEG-TR1--01;08/09/2019;2;Liquida;0;11907;0;1432,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;3;Liquida;0;11764,2;0;1327,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;4;Liquida;0;11755,8;0;1339,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;5;Liquida;0;11869,2;0;1415,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;6;Liquida;0;12045,6;0;1457,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;7;Liquida;0;11482,8;0;987;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;8;Liquida;0;11251,8;0;760,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;9;Liquida;0;11554,2;0;978,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;10;Liquida;0;11755,8;0;1054,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;11;Liquida;0;12045,6;0;1213,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;12;Liquida;0;12192,6;0;1243,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;13;Liquida;0;12243;0;1264,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;14;Liquida;0;12385,8;0;1302;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;15;Liquida;0;12532,8;0;1402,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;16;Liquida;0;12511,8;0;1386;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;17;Liquida;0;12621;0;1457,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;18;Liquida;0;13141,8;0;1894,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;19;Liquida;0;13986;0;2427,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;20;Liquida;0;13881;0;2339,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;21;Liquida;0;13776;0;2297,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;22;Liquida;0;13566;0;2196,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;23;Liquida;0;13183,8;0;2011,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;08/09/2019;24;Liquida;0;12763,8;0;1822,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;1;Liquida;0;12453;0;1684,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;2;Liquida;0;11566,8;0;1234,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;3;Liquida;0;11503,8;0;1230,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;4;Liquida;0;12045,6;0;1545,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;5;Liquida;0;12079,2;0;1503,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;6;Liquida;0;12247,2;0;1495,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;7;Liquida;0;11701,2;0;1050;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;8;Liquida;0;12171,6;0;1226,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;9;Liquida;0;12776,4;0;1507,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;10;Liquida;0;13179,6;0;1717,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;11;Liquida;0;13477,8;0;1806;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;12;Liquida;0;13608;0;1885,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;13;Liquida;0;13843,2;0;1969,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;14;Liquida;0;14191,8;0;2171,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;15;Liquida;0;14175;0;2150,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;16;Liquida;0;14141,4;0;2158,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;17;Liquida;0;13973,4;0;2066,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;18;Liquida;0;14401,8;0;2457;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;19;Liquida;0;15136,8;0;2961;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;20;Liquida;0;14880,6;0;2927,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;21;Liquida;0;14691,6;0;2809,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;22;Liquida;0;14301;0;2562;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;23;Liquida;0;13784,4;0;2305,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;09/09/2019;24;Liquida;0;13309,8;0;2100;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;10/09/2019;1;Liquida;0;12860,4;0;1848;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;10/09/2019;2;Liquida;0;12730,2;0;1822,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;10/09/2019;3;Liquida;0;12570,6;0;1806;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;10/09/2019;4;Liquida;0;12562,2;0;1827;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;10/09/2019;5;Liquida;0;12658,8;0;1881,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;10/09/2019;6;Liquida;0;12835,2;0;1911;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;10/09/2019;7;Liquida;0;12100,2;0;1218;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;10/09/2019;8;Liquida;0;12566,4;0;1360,8;0;Hora Completa Consistente;Consistido
